CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,
0.038055,0.400000,0.400000,0.265741,0.265990,0.266005,0.265676,0.265683,
0.096948,0.400000,0.400000,0.294763,0.295013,0.295029,0.294701,0.294697,
0.146126,0.400000,0.400000,0.309635,0.309885,0.309902,0.309578,0.309573,
0.117429,0.400000,0.400000,0.290496,0.290743,0.290761,0.290441,0.290445,
0.049838,0.400000,0.400000,0.262314,0.262560,0.262576,0.262257,0.262265,
0.038078,0.400000,0.400000,0.265740,0.265989,0.266004,0.265678,0.265683,
0.096905,0.400000,0.400000,0.294671,0.294921,0.294937,0.294608,0.294604,
0.146167,0.400000,0.400000,0.309629,0.309879,0.309897,0.309571,0.309566,
0.117567,0.400000,0.400000,0.290557,0.290806,0.290822,0.290502,0.290506,
0.049910,0.400000,0.400000,0.262335,0.262582,0.262597,0.262278,0.262287,
0.038014,0.400000,0.400000,0.265706,0.265955,0.265971,0.265643,0.265649,
0.096760,0.400000,0.400000,0.294682,0.294932,0.294948,0.294618,0.294616,
0.146045,0.400000,0.400000,0.309618,0.309868,0.309885,0.309560,0.309555,
0.117586,0.400000,0.400000,0.290572,0.290821,0.290838,0.290518,0.290521,
0.049923,0.400000,0.400000,0.262334,0.262581,0.262597,0.262277,0.262285,
0.037986,0.400000,0.400000,0.265685,0.265934,0.265949,0.265622,0.265628,
0.096772,0.400000,0.400000,0.294690,0.294939,0.294956,0.294627,0.294623,
0.146143,0.400000,0.400000,0.309667,0.309916,0.309934,0.309609,0.309604,
0.117685,0.400000,0.400000,0.290612,0.290859,0.290876,0.290558,0.290560,
0.050002,0.400000,0.400000,0.262365,0.262611,0.262628,0.262309,0.262317,
0.037979,0.400000,0.400000,0.265673,0.265923,0.265938,0.265610,0.265617,
0.096691,0.400000,0.400000,0.294590,0.294841,0.294857,0.294528,0.294525,
0.146127,0.400000,0.400000,0.309640,0.309890,0.309907,0.309582,0.309577,
0.117742,0.400000,0.400000,0.290638,0.290886,0.290903,0.290584,0.290587,
0.050072,0.400000,0.400000,0.262385,0.262632,0.262648,0.262328,0.262337,
0.037977,0.400000,0.400000,0.265662,0.265911,0.265927,0.265599,0.265606,
0.096643,0.400000,0.400000,0.294631,0.294881,0.294898,0.294569,0.294566,
0.146096,0.400000,0.400000,0.309658,0.309907,0.309925,0.309600,0.309594,
0.117824,0.400000,0.400000,0.290679,0.290927,0.290944,0.290624,0.290627,
0.050125,0.400000,0.400000,0.262409,0.262656,0.262671,0.262351,0.262360,
0.037910,0.400000,0.400000,0.265627,0.265876,0.265891,0.265563,0.265570,
0.096528,0.400000,0.400000,0.294591,0.294842,0.294858,0.294529,0.294526,
0.146099,0.400000,0.400000,0.309685,0.309935,0.309953,0.309628,0.309622,
0.117913,0.400000,0.400000,0.290724,0.290971,0.290988,0.290668,0.290672,
0.050226,0.400000,0.400000,0.262445,0.262692,0.262707,0.262388,0.262397,
